Sample,Reads,CpG reads,CpG/Total,Mapping,Used reads,Cell type
A3852,23958580,13894634,57.994396996817,98.73,13718172.1482,B-cell
A3853,23726334,13303591,56.0709926784306,98.75,13137296.1125,T-cell
A3856,25620347,12768276,49.8364678667311,98.38,12561429.9288,B-cell
A3857,25905892,14538277,56.1195769672783,98.71,14350733.2267,T-cell
A3860,23514443,13142793,55.892427475318,98.22,12908851.2846,B-cell
A3861,27891747,15315003,54.9087262264354,98.77,15126628.4631,T-cell
A3864,23038460,14514258,63.0001224040148,98.63,14315412.6654,B-cell
A3865,23907887,14882035,62.2473872325062,98.78,14700474.173,T-cell
A3868,22863009,12388860,54.1873556538424,98.64,12220371.504,B-cell
A3869,23799510,14683952,61.6985475751392,98.68,14490123.8336,T-cell
